"rt","stimulus","response","trial_type","trial_index","time_elapsed","internal_node_id","task","correct_response","word","color","congruency","correct"
"741","<p style='color:green;font-size:60pt;'>RED</p>","g","html-keyboard-response","147","168384","0.0-2.0-1.72","stroop","g","RED","green","Incongruent","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","148","169387","0.0-2.0-0.73","fixation","","","","",""
"674","<p style='color:blue;font-size:60pt;'>RED</p>","b","html-keyboard-response","149","170061","0.0-2.0-1.73","stroop","b","RED","blue","Incongruent","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","150","172063","0.0-2.0-0.74","fixation","","","","",""
"774","<p style='color:red;font-size:60pt;'>RED</p>","r","html-keyboard-response","151","172839","0.0-2.0-1.74","stroop","r","RED","red","Congruent","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","152","174841","0.0-2.0-0.75","fixation","","","","",""
"629","<p style='color:red;font-size:60pt;'>YELLOW</p>","r","html-keyboard-response","153","175472","0.0-2.0-1.75","stroop","r","YELLOW","red","Incongruent","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","154","177474","0.0-2.0-0.76","fixation","","","","",""
"585","<p style='color:red;font-size:60pt;'>BLUE</p>","r","html-keyboard-response","155","178060","0.0-2.0-1.76","stroop","r","BLUE","red","Incongruent","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","156","180062","0.0-2.0-0.77","fixation","","","","",""
"1079","<p style='color:yellow;font-size:60pt;'>GREEN</p>","y","html-keyboard-response","157","181143","0.0-2.0-1.77","stroop","y","GREEN","yellow","Incongruent","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","158","183145","0.0-2.0-0.78","fixation","","","","",""
"718","<p style='color:yellow;font-size:60pt;'>RED</p>","y","html-keyboard-response","159","183865","0.0-2.0-1.78","stroop","y","RED","yellow","Incongruent","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","160","184867","0.0-2.0-0.79","fixation","","","","",""
"526","<p style='color:yellow;font-size:60pt;'>BLUE</p>","y","html-keyboard-response","161","185395","0.0-2.0-1.79","stroop","y","BLUE","yellow","Incongruent","true"
